MUN;Regiao;UF;Cidade;Nome;Site;Fase;Ano;Gestora;Público;Universidade;Contato;End;CEP
5208707;Centro-Oeste;GO;Goiânia;Parque Tecnológico Samambaia - PCT Samambaia;https://www.parquesamambaia.ufg.br/;Implantação;2005;Universidade Federal de Goiás - UFG;1;1;62-32610319 / 35211340;Campus Samambaia Campus II UFG - CP.131;74001970
5300108;Centro-Oeste;DF;Brasília;Parque Científico e Tecnológico da UnB - PCTec;http://www.pctec.unb.br/;Implantação;2006;Universidade de Brasília - Centro de Apoio ao Desenvolvimento Tecnológico/ UnB;1;1;61-31074119;Campus Universitário Darcy Ribeiro, Asa Norte, edifício CDT, Brasilia;70904970
5300108;Centro-Oeste;DF;Brasília;Biotic;https://www.bioticsa.com.br/;Implantação;2009;Terracap - Companhia de Desenvolvimento do DF;0;0;61-33421056/ 992137104;EPIA - Balão do Torto;
2704302;Nordeste;AL;Maceió;Parque Tecnológico de Alagoas - PTAL;http://www.parquetecnologico.al.gov.br/;Implantação;2007;Parque Tecnológico de Alagoas;;;82-3315.1577;Campus A.C Simões -Tabuleiro do Martins - Campus da UFAL;57072970
2611606;Nordeste;PE;Recife;Parque Tecnológico de Eletro-Eletrônica de Pernambuco (ParqTel) ;;Implantação;;Em preparação para se transformar em OS do estado;;;81) 2138-6100/9123.2505  81 2121 9644;Rua Ministro Mário Andreaza, 3 Qd. N, Modulo 8 - Bairro Vargea - Recife-PE ;50950005
1501402;Norte;PA;Belém;Parque de Ciência e Tecnologia Guamá -  PCT guamá;http://pctguama.org.br/?lang=pt;Implantação;2010;Universidade Federal do Pará - UFPA / Secretaria de Estado de Desenvolvimento, Ciência e Tecnologia - SEDECT ;1;1;91- 9641 4275     8723 4275           3201 8000 R/2103/4;Av. Perimetral da Ciência s/n, Cidade Universitária Prof. José da Silveira Netto - UFPA;66075750
3138203;Sudeste;MG;Lavras;LAVRASTEC;;Implantação;2005;Universidade Federal de Lavras;1;1;(35) 99257-2221;Universidade Federal de Lavras - gência de Inovação do Café - Caixa Postal 3037 - Lavras-MG;37200000
3543402;Sudeste;SP;Ribeirão Preto;Parque Tecnológico de Ribeirão Preto - SUPERA;http://superaparque.com.br/;Implantação;2005;Fipase - Fundação Instituto Pólo Avançado De Sáude/Supera ;;0;16- 3315 0735/981555571/36024671/3643/4730;Av. Dra. Nadir Aguiar, 1805   14056 - 680 ribeirao preto;14025000
3548906;Sudeste;SP;São Carlos;Parque Eco-Tecnológio Damha São Carlos Eco Tec Damha;http://institutoinova.org.br/parque-ecotec-damha/;Implantação;2006;Encalso Cosntruções Ltda;;0;16 3413 -0799;Rua Major José Inácio, 2292;13561160
3205309;Sudeste;ES;Vitória;Parque Tecnologico Metropolitano de Vitória ;;Implantação;2007;Companhia de Desenvolvimento de Vitória -CDV;1;0;27 3183 9513;Rua Fortunato Ramos 30, Santa Lucia;29056020
3507506;Sudeste;SP;Botucatu;Parque Tecnológico Botucatu;http://parquebtu.org.br/;Implantação;2008;FEPAF - Fundação de Estudos e Pesquisas Agrícolas e Florestais;;0;14 3811-1424/997176790/996016540;;18600000
3548500;Sudeste;SP;Santos;Parque Tecnológico de Santos;https://www.santos.sp.gov.br/?q=fpts;Implantação;2008;Fundação de Tecnologia e Conhecimento de Santos;;0;13- 3202-8484/99743 6962/991240634/32288744;Rua do Comércio 44;11010140
3549805;Sudeste;SP;São José do Rio Preto;Parque Tecnológico de São José do Rio Preto ;http://parquetecnologico.riopreto.sp.gov.br/;Implantação;2009;Secretaria de Planejamento e Gestão Estratégica;1;0;17 - 3203-1230/1110/5852;Av Alberto Andaló, 3030 - 4° andar;15015000
3509502;Sudeste;SP;Campinas;Parque Tecnológico do CTI-Tec;https://www.cti.gov.br/pt-br/cti-tec;Implantação;2011;Centro de Tecnologia da Informação Renato Archer;;0;19 3746 6216/991349984;;
3136702;Sudeste;MG;Juiz de Fora;Parque Científico e Tecnológico de Juiz de Fora ;;Implantação;2013;Parque Tecnológico de Juiz de Fora ;;0;32 98875 0649  3231 2756  32 2102 3435;;
4118501;Sul;PR;Pato Branco;Parque Tecnológico de Pato Branco;;Implantação;1998;Pato Branco Tecnópole;;0;46-3220 6080                 46 3224 6138;Via do Conhecimento, Km 01 - Fraron;85503390
4305108;Sul;RS;Caxias do Sul;Parque de Ciência, Tecnologia e Inovação da UCS;https://www.ucs.br/site/tecnoucs/;Implantação;2004;Associação do Pólo de Informática de Caxias do Sul;;0;54-3028.7656;Rua Travessão Solferino, 600 - Sala 10;95076420
4316808;Sul;RS;Santa Cruz do Sul;Parque Científico e Tecnológico Regional - UNISC;https://www.unisc.br/pt/tecnounisc/quem-somos;Implantação;2006;Universidade de Santa Cruz do Sul - UNISC;;1;51-3717-7470;Avenida Independência,2293;96815900
4314100;Sul;RS;Passo Fundo;Parque Cientifico e Tecnológico da UPF;;Implantação;2008;Fundação Universidade de Passo Fundo;;1;54-3316.8158 / 54 8119 5919;BR 285 - KM 171 Bairro São José Campus I;99001970
4314902;Sul;RS;Porto Alegre;Zenit - Parque Científico e Tecnológico da UFRGS;https://www.ufrgs.br/zenit/;Implantação;2010;UFRGS- Universidade Federal do Rio Grande do Sul ;1;1;(51) 3308-4263;Prédio Chateu s/nº, Campus Centro - Universiade Federal do Rio Grande do Sul;90010020
4204202;Sul;PR;Chapecó;Parque Científico e Tecnológico de Chapecó;;Implantação;2013;UNOCHAPECÓ;1;1;49 - 33218000;Av. Senador Atílio Fontana, 591-E;89809000
4204608;Sul;PR;Criciúma;Parque Científico e Tecnológico - IPARQUE;;Implantação;2013;Universidade do Extremo Sul Catarinense - UNESC;1;1;48 - 34443702;Rod. Gov. Jorge Lacerda, km 4,5  Sangão;88806000
4119905;Sul;PR;Ponta Grossa;Parque Eco-Tecnológio de Ponta Grossa;;Implantação;;Prefeitura Municipal de Ponta Grossa;1;0;42-3220-4800;;
1712009;Sul;RS;Lajeado;Parque Científico e Tecnológico do Vale do Taquari - TECNOVATES;https://www.univates.br/tecnovates/;Implantação;2014;Centro Universitário Univates;0;1;;;
4315602;Sul;RS;Rio Grande;Parque Científico e Tecnológico do Mar - OCEANTEC;https://oceantec.furg.br/;Implantação;2017;Universidade Federal do Rio Grande - FURG;1;1;;;
4317509;Sul;RS;Santo Ângelo;Parque Cientifico e Tecnológico da URI;;Implantação;2018;;;;55 3313 7928;;
